p	n	D	T	He3	He4	Be7	Li7	Li6
3.952997e-01	6.047002e-01	1.257682e-12	2.889392e-24	3.425993e-24	5.679052e-34	-3.374954e-40	5.640489e-43	1.175792e-35	%
3.943473e-01	6.056526e-01	1.247164e-12	2.874859e-24	3.413699e-24	5.952897e-34	-3.489402e-40	7.106368e-43	1.150773e-35	%
3.933877e-01	6.066122e-01	1.236805e-12	2.861086e-24	3.402293e-24	6.245577e-34	-3.608394e-40	8.689828e-43	1.126123e-35	%
3.924210e-01	6.075788e-01	1.226603e-12	2.848068e-24	3.391773e-24	6.558615e-34	-3.732134e-40	1.039905e-42	1.101836e-35	%
3.914472e-01	6.085527e-01	1.216558e-12	2.835803e-24	3.382138e-24	6.893677e-34	-3.860841e-40	1.224279e-42	1.077908e-35	%
3.904661e-01	6.095338e-01	1.206667e-12	2.824287e-24	3.373389e-24	7.252586e-34	-3.994743e-40	1.423038e-42	1.054332e-35	%
3.894778e-01	6.105221e-01	1.196928e-12	2.813519e-24	3.365528e-24	7.637336e-34	-4.134081e-40	1.637182e-42	1.031105e-35	%
3.884822e-01	6.115177e-01	1.187340e-12	2.803497e-24	3.358556e-24	8.050113e-34	-4.279107e-40	1.867779e-42	1.008220e-35	%
3.874793e-01	6.125205e-01	1.177900e-12	2.794220e-24	3.352476e-24	8.493312e-34	-4.430088e-40	2.115971e-42	9.856721e-36	%
3.864691e-01	6.135308e-01	1.168607e-12	2.785687e-24	3.347290e-24	8.969563e-34	-4.587303e-40	2.382978e-42	9.634569e-36	%
3.854515e-01	6.145484e-01	1.159460e-12	2.777899e-24	3.343004e-24	9.481753e-34	-4.751048e-40	2.670109e-42	9.415692e-36	%
3.844265e-01	6.155734e-01	1.150456e-12	2.770856e-24	3.339621e-24	1.003306e-33	-4.921634e-40	2.978761e-42	9.200041e-36	%
3.833941e-01	6.166058e-01	1.141594e-12	2.764560e-24	3.337147e-24	1.062697e-33	-5.099389e-40	3.310431e-42	8.987568e-36	%
3.823542e-01	6.176457e-01	1.132872e-12	2.759012e-24	3.335589e-24	1.126733e-33	-5.284656e-40	3.666721e-42	8.778225e-36	%
